Language,ID,L1,L2,EnglishL2,English_MP,Dialect,Sex,Age,Meaning,Team,UniqueItem,Rep,Choice,ACC,Name,ISO639.3,Script,Genus,Autotyp_Area,Continent,Longitude,Latitude,Family,category,subcategory,Animacy
DK,DK_2149901,danish,"english, german",TRUE,L2,NA,M,25,knife,IL,IL_knife.wav,1,knife,1,Danish,dan,roman,IE,Europe,W and SW Eurasia,10,56,IE,noun,inanimate,inanimate
DK,DK_2142540,danish,"english, german, dutch",TRUE,L2,jutland ,F,22,deer,IL,IL_deer.wav,1,deer,1,Danish,dan,roman,IE,Europe,W and SW Eurasia,10,56,IE,noun,animal,animate
DK,DK_2102868,danish,"english, german, french",TRUE,L2,funen,F,29,fire,IL,IL_fire.wav,2,fire,1,Danish,dan,roman,IE,Europe,W and SW Eurasia,10,56,IE,noun,inanimate,inanimate
DK,DK_2143457,danish,"english, german, french",TRUE,L2,"jutland, salling",F,24,meat,BW,BW_meat.wav,2,meat,1,Danish,dan,roman,IE,Europe,W and SW Eurasia,10,56,IE,noun,inanimate,inanimate
DK,DK_2147661,danish,"english, german, french",TRUE,L2,NA,M,45,meat,BW,BW_meat.wav,3,meat,1,Danish,dan,roman,IE,Europe,W and SW Eurasia,10,56,IE,noun,inanimate,inanimate
DK,DK_2149822,danish,"english, german, spanish, portuguese, russian, dutch",TRUE,L2,NA,M,54,gather,GB,GB_gather.wav,3,knife,0,Danish,dan,roman,IE,Europe,W and SW Eurasia,10,56,IE,action,action,animate
DK,DK_2144114,danish,"english, spanish",TRUE,L2,jutland,F,24,snake,NC,NC_snake.wav,1,snake,1,Danish,dan,roman,IE,Europe,W and SW Eurasia,10,56,IE,noun,animal,animate
DK,DK_2143222,danish,"german, english",TRUE,L2,NA,F,22,this,SU,SU_this.wav,5,bad,0,Danish,dan,roman,IE,Europe,W and SW Eurasia,10,56,IE,property,demonstrative,animate
DE,DE_2010577,dutch,"english, german",TRUE,L2,NA,F,56,hide,NC,NC_hide.wav,2,sleep,0,German,deu,roman,IE,Europe,W and SW Eurasia,10,52,IE,action,action,animate
EN,EN_2014133,dutch,"english, german, italian",TRUE,L2,limburgian,M,58,hunt,BW,BW_hunt.wav,1,rock,0,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,action,action,animate
EN,EN_2040072,dutch,"english, hebrew, german, french",TRUE,L2,NA,F,33,big,BW,BW_big.wav,1,big,0,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,property,adjective,animate
EN,EN_2029434,english,NA,NA,L1,NA,M,23,fire,KD,KD_fire.wav,1,fire,1,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,noun,inanimate,inanimate
EN,EN_2029682,english,NA,NA,L1,NA,M,33,good,NC,NC_good.wav,2,good,1,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,property,adjective,animate
EN,EN_2030058,english,NA,NA,L1,NA,F,44,bad,IL,IL_bad.wav,2,bad,1,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,property,adjective,animate
EN,EN_2031862,english,NA,NA,L1,NA,M,37,cook,KR,KR_cook.wav,2,water,0,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,action,action,animate
EN,EN_2032308,english,NA,NA,L1,trinidadian english,F,28,fruit,IL,IL_fruit.wav,1,eat,0,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,noun,inanimate,inanimate
EN,EN_2032799,english,NA,NA,L1,british,M,25,dull,IL,IL_dull.wav,4,dull,1,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,property,adjective,animate
EN,EN_2033881,english,NA,NA,L1,NA,M,24,sleep,KD,KD_sleep.wav,2,sleep,1,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,action,action,animate
EN,EN_2034548,english,NA,NA,L1,NA,F,48,good,NC,NC_good.wav,2,woman,0,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,property,adjective,animate
EN,EN_2039215,english,NA,NA,L1,australian ,M,22,pound,IL,IL_pound.wav,1,pound,1,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,action,action,animate
EN,EN_2049534,english,NA,NA,L1,NA,M,50,man,BW,BW_man.wav,12,deer,0,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,noun,people,animate
EN,EN_2035441,english,a little bit german ,FALSE,L1,NA,F,25,man,KD,KD_man.wav,1,pound,0,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,noun,people,animate
EN,EN_2015517,english,"a little bit german, a little french",FALSE,L1,midwestern us,F,52,big,GB,GB_big.wav,1,big,1,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,property,adjective,animate
EN,EN_2030623,english,"asl, french",FALSE,L1,NA,F,47,hide,NC,NC_hide.wav,2,water,0,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,action,action,animate
EN,EN_2009682,english,french,FALSE,L1,NA,F,24,fire,IL,IL_fire.wav,2,fire,1,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,noun,inanimate,inanimate
EN,EN_2029222,english,french,FALSE,L1,NA,M,39,that,BW,BW_that.wav,2,that,1,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,property,demonstrative,animate
EN,EN_2029922,english,french,FALSE,L1,NA,F,31,one,BW,BW_one.wav,2,good,0,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,property,quantifier,animate
EN,EN_2034937,english,french,FALSE,L1,western canadian,M,25,pound,KR,KR_pound.wav,6,many,0,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,action,action,animate
EN,EN_2038609,english,french,FALSE,L1,NA,F,55,knife,KD,KD_knife.wav,3,sharp,0,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,noun,inanimate,inanimate
EN,EN_2056487,english,french,FALSE,L1,NA,F,21,hide,NC,NC_hide.wav,2,sharp,0,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,action,action,animate
FR,FR_2102295,english,french,FALSE,L1,NA,M,23,small,IL,IL_small.wav,4,that,0,French,fra,roman,IE,Europe,W and SW Eurasia,25,62,IE,property,adjective,animate
EN,EN_2012604,english,"french, a little bit german, a little bit japanese",FALSE,L1,british,F,25,snake,SU,SU_snake.wav,1,snake,1,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,noun,animal,animate
EN,EN_2009360,english,"french, german",FALSE,L1,NA,F,32,small,NC,NC_small.wav,3,small,1,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,property,adjective,animate
EN,EN_2031265,english,"french, italian",FALSE,L1,NA,F,37,pound,IL,IL_pound.wav,1,pound,1,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,action,action,animate
EN,EN_2030330,english,german,FALSE,L1,NA,M,23,sharp,NC,NC_sharp.wav,2,sharp,1,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,property,adjective,animate
EN,EN_2030515,english,german,FALSE,L1,NA,M,21,cut,SU,SU_cut.wav,3,snake,0,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,action,action,animate
EN,EN_2011604,english,"german, chinese, italian",FALSE,L1,NA,M,30,hide,IL,IL_hide.wav,2,hide,1,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,action,action,animate
EN,EN_2007249,english,"german, dutch",FALSE,L1,hiberno-english,M,56,tiger,NC,NC_tiger.wav,2,tiger,1,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,noun,animal,animate
EN,EN_2031667,english,"latin, a little bit spanish",FALSE,L1,NA,F,43,fruit,GB,GB_fruit.wav,2,fruit,1,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,noun,inanimate,inanimate
EN,EN_2035653,english,"latin, ancient greek, german",FALSE,L1,NA,F,25,meat,IL,IL_meat.wav,1,eat,0,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,noun,inanimate,inanimate
EN,EN_2027185,english,nepali,FALSE,L1,australian ,F,33,knife,KD,KD_knife.wav,2,sharp,0,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,noun,inanimate,inanimate
EN,EN_2032689,english,spanish,FALSE,L1,NA,M,26,tiger,KR,KR_tiger.wav,3,tiger,1,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,noun,animal,animate
EN,EN_2029700,english,"spanish, a little bit dutch ",FALSE,L1,NA,F,24,one,BW,BW_one.wav,2,one,1,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,property,quantifier,animate
EN,EN_2032142,english,"spanish, a little bit korean",FALSE,L1,NA,F,23,tiger,KR,KR_tiger.wav,2,tiger,1,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,noun,animal,animate
EN,EN_2029328,english,"spanish, german, asl",FALSE,L1,upper midwestern us,M,24,sharp,KD,KD_sharp.wav,3,water,0,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,property,adjective,animate
EN,EN_2029531,english,"spanish, hebrew",FALSE,L1,american,F,39,tiger,BW,BW_tiger.wav,1,tiger,1,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,noun,animal,animate
EN,EN_2031526,english,"turkish, spanish",FALSE,L1,NA,F,24,fruit,IL,IL_fruit.wav,1,fruit,1,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,noun,inanimate,inanimate
EN,EN_2075768,english,vietnamese,FALSE,L1,NA,F,22,meat,KR,KR_meat.wav,1,tiger,0,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,noun,inanimate,inanimate
EN,EN_2033631,español,english,TRUE,L2,NA,M,33,snake,BW,BW_snake.wav,3,snake,1,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,noun,animal,animate
PT,PT_2121716,esperanto,"english, esperanto, french",TRUE,L2,NA,M,25,child,GB,GB_child.wav,1,eat,0,Portuguese,por,roman,IE,Europe,W and SW Eurasia,-8,39,IE,noun,people,animate
EE,EE_2057944,estonian,english,TRUE,L2,NA,F,32,dull,BW,BW_dull.wav,3,eat,0,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,property,adjective,animate
EE,EE_2093288,estonian,"english, a little bit german, a little bit italian, a little bit russian ",TRUE,L2,NA,F,28,big,BW,BW_big.wav,2,man,0,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,property,adjective,animate
EE,EE_2055693,estonian,"english, finnish, danish",TRUE,L2,NA,F,45,tiger,KR,KR_tiger.wav,3,tiger,1,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,noun,animal,animate
EE,EE_2059961,estonian,"english, finnish, french, russian",TRUE,L2,mulgi,F,34,snake,SU,SU_snake.wav,5,gather,0,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,noun,animal,animate
EN,EN_2043021,estonian,"english, finnish, french, russian",TRUE,L2,NA,M,38,big,MS,MS_big.wav,1,big,1,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,property,adjective,animate
EE,EE_2062405,estonian,"english, finnish, hungarian",TRUE,L2,NA,F,22,sharp,IL,IL_sharp.wav,4,sharp,1,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,property,adjective,animate
EE,EE_2060175,estonian,"english, finnish, russian, german, swedish, italian, spanish, french",TRUE,L2,NA,F,47,meat,KR,KR_meat.wav,3,many,0,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,noun,inanimate,inanimate
EE,EE_2054453,estonian,"english, finnish, russian, hungarian, german, spanish",TRUE,L2,NA,F,29,meat,IL,IL_meat.wav,2,eat,0,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,noun,inanimate,inanimate
EE,EE_2058050,estonian,"english, finnish, swedish",TRUE,L2,NA,F,29,water,SU,SU_water.wav,3,water,1,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,noun,inanimate,inanimate
EE,EE_2067135,estonian,"english, french, finnish",TRUE,L2,NA,F,22,woman,IL,IL_woman.wav,3,sleep,0,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,noun,people,animate
EE,EE_2059148,estonian,"english, french, russian, finnish",TRUE,L2,NA,F,28,meat,IL,IL_meat.wav,2,meat,1,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,noun,inanimate,inanimate
EE,EE_2063434,estonian,"english, german, french, russian",TRUE,L2,NA,F,53,that,KD,KD_that.wav,2,sharp,0,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,property,demonstrative,animate
EE,EE_2058368,estonian,"english, german, latin",TRUE,L2,NA,M,33,good,GB,GB_good.wav,1,water,0,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,property,adjective,animate
EE,EE_2061100,estonian,"english, german, russian, french",TRUE,L2,NA,F,39,child,IL,IL_child.wav,2,child,1,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,noun,people,animate
EE,EE_2057689,estonian,"english, italian, russian",TRUE,L2,NA,F,37,one,NC,NC_one.wav,5,one,1,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,property,quantifier,animate
EE,EE_2056156,estonian,"english, russian",TRUE,L2,NA,M,29,fruit,KD,KD_fruit.wav,1,cook,0,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,noun,inanimate,inanimate
EE,EE_2059273,estonian,"english, russian",TRUE,L2,NA,F,49,rock,SU,SU_rock.wav,3,rock,1,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,noun,inanimate,inanimate
EE,EE_2059514,estonian,"english, russian",TRUE,L2,"tartu, voro",F,25,deer,KD,KD_deer.wav,2,deer,1,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,noun,animal,animate
EE,EE_2062178,estonian,"english, russian, finnish",TRUE,L2,NA,F,30,sharp,NC,NC_sharp.wav,2,water,0,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,property,adjective,animate
EE,EE_2057608,estonian,"english, russian, german",TRUE,L2,NA,F,45,fruit,GB,GB_fruit.wav,9,fruit,1,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,noun,inanimate,inanimate
EE,EE_2057838,estonian,"english, russian, german",TRUE,L2,NA,F,33,knife,KD,KD_knife.wav,4,hunt,0,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,noun,inanimate,inanimate
EE,EE_2058541,estonian,"english, russian, german, finnish",TRUE,L2,NA,F,41,big,BW,BW_big.wav,2,big,1,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,property,adjective,animate
EE,EE_2061330,estonian,"english, russian, german, finnish",TRUE,L2,NA,F,39,sleep,KD,KD_sleep.wav,1,sleep,1,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,action,action,animate
EE,EE_2058528,estonian,"english, russian, spanish, german",TRUE,L2,NA,F,50,one,NC,NC_one.wav,6,cut,0,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,property,quantifier,animate
EN,EN_2043774,estonian,"english, swedish, dutch, german, russian",TRUE,L2,NA,F,46,deer,KD,KD_deer.wav,2,deer,1,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,noun,animal,animate
EE,EE_2056593,estonian,"french, english, italian, russian",TRUE,L2,NA,F,43,many,GB,GB_many.wav,2,tiger,0,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,property,quantifier,animate
EE,EE_2056747,estonian,"german, english, finnish, hungarian, russian, swedish",TRUE,L2,NA,F,26,eat,KD,KD_eat.wav,1,eat,1,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,action,action,animate
EE,EE_2058156,estonian,"german, english, hungarian, russian",TRUE,L2,NA,F,45,cook,KR,KR_cook.wav,1,snake,0,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,action,action,animate
EE,EE_2058608,estonian,"german, english, norwegian",TRUE,L2,NA,F,27,sleep,NC,NC_sleep.wav,2,sleep,1,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,action,action,animate
EE,EE_2063750,estonian,"german, english, russian",TRUE,L2,NA,F,49,many,LJ,LJ_many.wav,2,child,0,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,property,quantifier,animate
EE,EE_2056947,estonian,"russian, english",TRUE,L2,NA,F,51,eat,KD,KD_eat.wav,3,eat,1,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,action,action,animate
EE,EE_2063940,estonian,"russian, english, finnish",TRUE,L2,NA,F,47,sharp,NC,NC_sharp.wav,1,woman,0,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,property,adjective,animate
EE,EE_2058898,estonian,"russian, english, finnish, german",TRUE,L2,voro,F,56,fruit,GB,GB_fruit.wav,2,eat,0,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,noun,inanimate,inanimate
EE,EE_2061228,estonian,"russian, english, german, finnish, a little bit polish, a little bit spanish",TRUE,L2,voro,F,47,pound,IL,IL_pound.wav,1,pound,1,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,action,action,animate
