Language,ID,L1,L2,EnglishL2,English_MP,Dialect,Sex,Age,Meaning,Team,UniqueItem,Rep,Choice,ACC,Name,ISO639.3,Script,Genus,Autotyp_Area,Continent,Longitude,Latitude,Family,category,subcategory,Animacy
FA,FA_2151502,farsi,english,TRUE,L2,NA,F,19,cook,KR,KR_cook.wav,6,snake,0,Farsi,fas,different,IE,Greater Mesopotamia,W and SW Eurasia,54,32,IE,action,action,animate
FA,FA_2152433,farsi,english,TRUE,L2,azerbaijani,M,26,meat,BW,BW_meat.wav,4,cut,0,Farsi,fas,different,IE,Greater Mesopotamia,W and SW Eurasia,54,32,IE,noun,inanimate,inanimate
FA,FA_2150860,farsi,"english, arabic, turkish",TRUE,L2,bakhtiari,F,30,small,NC,NC_small.wav,5,small,1,Farsi,fas,different,IE,Greater Mesopotamia,W and SW Eurasia,54,32,IE,property,adjective,animate
FA,FA_2043490,farsi,"english, french",TRUE,L2,NA,F,52,cook,KD,KD_cook.wav,6,eat,0,Farsi,fas,different,IE,Greater Mesopotamia,W and SW Eurasia,54,32,IE,action,action,animate
FA,FA_2151685,farsi,"english, french",TRUE,L2,NA,M,31,this,SU,SU_this.wav,4,bad,0,Farsi,fas,different,IE,Greater Mesopotamia,W and SW Eurasia,54,32,IE,property,demonstrative,animate
FA,FA_2104128,farsi,"english, german",TRUE,L2,NA,F,26,hunt,GB,GB_hunt.wav,2,hunt,1,Farsi,fas,different,IE,Greater Mesopotamia,W and SW Eurasia,54,32,IE,action,action,animate
FA,FA_2152540,farsi,"english, turkish",TRUE,L2,NA,M,32,fire,GB,GB_fire.wav,7,hunt,0,Farsi,fas,different,IE,Greater Mesopotamia,W and SW Eurasia,54,32,IE,noun,inanimate,inanimate
FA,FA_2142305,farsi,"english,french",TRUE,L2,NA,M,31,this,SU,SU_this.wav,2,child,0,Farsi,fas,different,IE,Greater Mesopotamia,W and SW Eurasia,54,32,IE,property,demonstrative,animate
FA,FA_2147376,farsi,"spanish, english",TRUE,L2,NA,F,31,gather,KR,KR_gather.wav,2,gather,1,Farsi,fas,different,IE,Greater Mesopotamia,W and SW Eurasia,54,32,IE,action,action,animate
SE,SE_2127135,finnish,"english, german",TRUE,L2,NA,F,51,fire,KD,KD_fire.wav,2,sleep,0,Swedish,swe,roman,IE,Europe,W and SW Eurasia,15,60,IE,noun,inanimate,inanimate
EN,EN_2067029,"finnish, estonian","english, german, saami",TRUE,L2,NA,F,26,deer,IL,IL_deer.wav,3,deer,1,English UK,eng,roman,IE,Europe,W and SW Eurasia,0,52,IE,noun,animal,animate
FR,FR_2108701,french,"breton, english, spanish",TRUE,L2,NA,F,63,rock,KR,KR_rock.wav,4,water,0,French,fra,roman,IE,Europe,W and SW Eurasia,25,62,IE,noun,inanimate,inanimate
FR,FR_2074614,french,english,TRUE,L2,NA,F,40,many,LJ,LJ_many.wav,4,many,1,French,fra,roman,IE,Europe,W and SW Eurasia,25,62,IE,property,quantifier,animate
